stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
14319,14319,ROSS @ AKARD - S - NS,,32.785724,-96.800843,,,1
14323,14323,NORTHWEST @ SHILOH - W - FS,,32.864208,-96.666565,,,1
14324,14324,NORTHWEST @ MCCREE - W - NS,,32.864193,-96.674096,,,0
14325,14325,NORTHWEST @ EXECUTIVE - W - NS,,32.864215,-96.678505,,,0
14326,14326,NORTHWEST @ JUPITER - W - NS,,32.864246,-96.682793,,,1
14327,14327,NORTHWEST @ ROLLING ROCK - W - NS,,32.864296,-96.692742,,,0
14328,14328,NORTHWEST @ MEDITERRANEAN - W - NS,,32.864292,-96.696984,,,0
14329,14329,NORTHWEST @ PLANO - W - NS,,32.864362,-96.700803,,,1
14330,14330,NORTHWEST @ LULLWATER - W - FS,,32.864296,-96.704186,,,0
14332,14332,NORTHWEST @ FERNDALE - W - NS,,32.864341,-96.710381,,,1
14333,14333,NORTHWEST @ CLASSEN - W - NS,,32.862892,-96.715882,,,0
14334,14334,NORTHWEST @ AUDELIA - W - FS,,32.861641,-96.718484,,,0
14335,14335,NORTHWEST @ GOFORTH - W - NS,,32.858997,-96.724153,,,1
14337,14337,NORTHWEST @ WALLING - W - NS,,32.854344,-96.73655,,,0
14338,14338,NORTHWEST @ ABRAMS - W - NS,,32.856784,-96.749115,,,1
14341,14341,NORTHWEST @ EDGEMERE - W - NS,,32.865615,-96.795113,,,0
14342,14342,NORTHWEST @ PICKWICK - W - NS,,32.865663,-96.800448,,,1
14343,14343,NORTHWEST @ HOLLOW WAY - W - NS,,32.865615,-96.813805,,,1
14344,14344,NORTHWEST @ INWOOD - W - MB,,32.865781,-96.820356,,,0
14345,14345,NORTHWEST @ MIDWAY - W - FS,,32.864088,-96.836909,,,1
14346,14346,NORTHWEST @ FRENCHMANS CREEK - W - NS,,32.863906,-96.842675,,,0
14347,14347,NORTHWEST @ MONTELEON - W - NS,,32.863715,-96.845723,,,0

